,Unnamed: 0,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,full_address,Address_URL,url,lat,long
2976,10858,205 WINDING RIVER DR UNIT B,5/24/22,"$237,000.00 ",237000,178.7330317,1326,1970,"205 WINDING RIVER DR UNIT B Fulton County, GA","205%20WINDING%20RIVER%20DR%20UNIT%20B%20Fulton%20County,%20GA","https://www.google.com/maps/search/205%20WINDING%20RIVER%20DR%20UNIT%20B%20Fulton%20County,%20GA",33.9965174,-84.347148
2977,10859,600 JONES RD,5/24/22,"$369,900.00 ",369900,332.0466786,1114,1945,"600 JONES RD Fulton County, GA","600%20JONES%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/600%20JONES%20RD%20Fulton%20County,%20GA",34.0465671,-84.3790517
2978,10860,3334 PEACHTREE RD NE # 1506,5/24/22,"$455,000.00 ",455000,274.0963855,1660,1997,"3334 PEACHTREE RD NE # 1506 Fulton County, GA","3334%20PEACHTREE%20RD%20NE%20#%201506%20Fulton%20County,%20GA","https://www.google.com/maps/search/3334%20PEACHTREE%20RD%20NE%20#%201506%20Fulton%20County,%20GA",33.849379,-84.3705772
2979,10861,4300 ROSWELL RD NE # 22,5/24/22,"$245,000.00 ",245000,194.4444444,1260,1961,"4300 ROSWELL RD NE # 22 Fulton County, GA","4300%20ROSWELL%20RD%20NE%20#%2022%20Fulton%20County,%20GA","https://www.google.com/maps/search/4300%20ROSWELL%20RD%20NE%20#%2022%20Fulton%20County,%20GA",33.8724974,-84.3816416
2980,10862,3041 MARNE DR NW,5/24/22,"$1,640,000.00 ",1640000,441.2160344,3717,1960,"3041 MARNE DR NW Fulton County, GA","3041%20MARNE%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/3041%20MARNE%20DR%20NW%20Fulton%20County,%20GA",33.8379616,-84.4057346
2981,10863,520 CLAUDEL CT,5/24/22,"$374,100.00 ",374100,184.2857143,2030,1996,"520 CLAUDEL CT Fulton County, GA","520%20CLAUDEL%20CT%20Fulton%20County,%20GA","https://www.google.com/maps/search/520%20CLAUDEL%20CT%20Fulton%20County,%20GA",33.7069473,-84.5461552
2982,10864,100 WEATHERBURNE DR,5/24/22,"$390,000.00 ",390000,207.2263549,1882,1984,"100 WEATHERBURNE DR Fulton County, GA","100%20WEATHERBURNE%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/100%20WEATHERBURNE%20DR%20Fulton%20County,%20GA",34.0252982,-84.3018282
2983,10865,717 KALB ST SE,5/24/22,"$520,000.00 ",520000,373.8317757,1391,1925,"717 KALB ST SE Fulton County, GA","717%20KALB%20ST%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/717%20KALB%20ST%20SE%20Fulton%20County,%20GA",33.742566,-84.3642662
2984,10866,1065 PARK ROW NORTH SE,5/24/22,"$310,000.00 ",310000,303.3268102,1022,2004,"1065 PARK ROW NORTH SE Fulton County, GA","1065%20PARK%20ROW%20NORTH%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1065%20PARK%20ROW%20NORTH%20SE%20Fulton%20County,%20GA",33.7252625,-84.3679875
2985,10867,400 WEST PEACHTREE ST NW LOT 1105,5/24/22,"$280,000.00 ",280000,376.8506057,743,2007,"400 WEST PEACHTREE ST NW LOT 1105 Fulton County, GA","400%20WEST%20PEACHTREE%20ST%20NW%20LOT%201105%20Fulton%20County,%20GA","https://www.google.com/maps/search/400%20WEST%20PEACHTREE%20ST%20NW%20LOT%201105%20Fulton%20County,%20GA",33.7651344,-84.3881936
2986,10868,1297 RICHLAND RD SW,5/24/22,"$390,000.00 ",390000,326.0869565,1196,1955,"1297 RICHLAND RD SW Fulton County, GA","1297%20RICHLAND%20RD%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1297%20RICHLAND%20RD%20SW%20Fulton%20County,%20GA",33.7311131,-84.4300062
2987,10869,100 SHADECREST CT,5/24/22,"$1,325,000.00 ",1325000,355.895783,3723,1999,"100 SHADECREST CT Fulton County, GA","100%20SHADECREST%20CT%20Fulton%20County,%20GA","https://www.google.com/maps/search/100%20SHADECREST%20CT%20Fulton%20County,%20GA",34.1033095,-84.3000602
2988,10870,238 EDINBURGH CT # 238,5/24/22,"$300,000.00 ",300000,178.5714286,1680,1997,"238 EDINBURGH CT # 238 Fulton County, GA","238%20EDINBURGH%20CT%20#%20238%20Fulton%20County,%20GA","https://www.google.com/maps/search/238%20EDINBURGH%20CT%20#%20238%20Fulton%20County,%20GA",34.1006814,-84.2662172
2989,10871,3329 LATHENVIEW CT,5/24/22,"$395,000.00 ",395000,279.7450425,1412,2002,"3329 LATHENVIEW CT Fulton County, GA","3329%20LATHENVIEW%20CT%20Fulton%20County,%20GA","https://www.google.com/maps/search/3329%20LATHENVIEW%20CT%20Fulton%20County,%20GA",34.1016605,-84.2627236
2990,10872,606 MASONS CREEK CIR,5/24/22,"$285,000.00 ",285000,209.2511013,1362,2004,"606 MASONS CREEK CIR Fulton County, GA","606%20MASONS%20CREEK%20CIR%20Fulton%20County,%20GA","https://www.google.com/maps/search/606%20MASONS%20CREEK%20CIR%20Fulton%20County,%20GA",33.9932198,-84.3411342
2991,10873,7938 STRATFORD LN,5/24/22,"$925,000.00 ",925000,224.6781637,4117,2005,"7938 STRATFORD LN Fulton County, GA","7938%20STRATFORD%20LN%20Fulton%20County,%20GA","https://www.google.com/maps/search/7938%20STRATFORD%20LN%20Fulton%20County,%20GA",33.969296,-84.3454563
2992,10874,1789 MONROE DR NE,5/23/22,"$650,000.00 ",650000,248.6610559,2614,1926,"1789 MONROE DR NE Fulton County, GA","1789%20MONROE%20DR%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1789%20MONROE%20DR%20NE%20Fulton%20County,%20GA",33.8035934,-84.3731396
2993,10875,6336 FERRY DR,5/23/22,"$500,000.00 ",500000,344.3526171,1452,1955,"6336 FERRY DR Fulton County, GA","6336%20FERRY%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/6336%20FERRY%20DR%20Fulton%20County,%20GA",33.9279141,-84.3853952
2994,10876,2600 PEACHTREE RD NW # 18,5/23/22,"$865,000.00 ",865000,338.9498433,2552,1982,"2600 PEACHTREE RD NW # 18 Fulton County, GA","2600%20PEACHTREE%20RD%20NW%20#%2018%20Fulton%20County,%20GA","https://www.google.com/maps/search/2600%20PEACHTREE%20RD%20NW%20#%2018%20Fulton%20County,%20GA",33.8256102,-84.3877435
