,Address,sale_date,sale_price,salePrice_numeric,price_SF,sq_ft,yr_built,unique_ID,full_address,Address_URL,url,lat,long
889,1701 CAHOON ST SW,5/3/23,"$220,000.00 ",220000,213.7998056,1029,1955,1701CAHOONSTSW-2023-05-03-220000,"1701 CAHOON ST SW Fulton County, GA","1701%20CAHOON%20ST%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1701%20CAHOON%20ST%20SW%20Fulton%20County,%20GA",33.7086708,-84.4146865
890,1080 PEACHTREE ST NE UNIT 1905,5/3/23,"$406,000.00 ",406000,468.2814302,867,2008,1080PEACHTREESTNEUNIT1905-2023-05-03-406000,"1080 PEACHTREE ST NE UNIT 1905 Fulton County, GA","1080%20PEACHTREE%20ST%20NE%20UNIT%201905%20Fulton%20County,%20GA","https://www.google.com/maps/search/1080%20PEACHTREE%20ST%20NE%20UNIT%201905%20Fulton%20County,%20GA",33.783839,-84.3838658
891,6800 GLENRIDGE DR # 6810E,5/3/23,"$210,000.00 ",210000,316.2650602,664,1981,6800GLENRIDGEDR#6810E-2023-05-03-210000,"6800 GLENRIDGE DR # 6810E Fulton County, GA","6800%20GLENRIDGE%20DR%20#%206810E%20Fulton%20County,%20GA","https://www.google.com/maps/search/6800%20GLENRIDGE%20DR%20#%206810E%20Fulton%20County,%20GA",33.9426198,-84.3664859
892,200 RIVER VISTA DR UNIT 543,5/3/23,"$330,000.00 ",330000,281.5699659,1172,2010,200RIVERVISTADRUNIT543-2023-05-03-330000,"200 RIVER VISTA DR UNIT 543 Fulton County, GA","200%20RIVER%20VISTA%20DR%20UNIT%20543%20Fulton%20County,%20GA","https://www.google.com/maps/search/200%20RIVER%20VISTA%20DR%20UNIT%20543%20Fulton%20County,%20GA",33.9011253,-84.4399001
893,1026 SIMS AVE NW,5/3/23,"$490,000.00 ",490000,164.0441915,2987,2004,1026SIMSAVENW-2023-05-03-490000,"1026 SIMS AVE NW Fulton County, GA","1026%20SIMS%20AVE%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1026%20SIMS%20AVE%20NW%20Fulton%20County,%20GA",33.7825649,-84.452675
894,197 STEWART DR NE,5/3/23,"$1,125,000.00 ",1125000,273.989284,4106,2007,197STEWARTDRNE-2023-05-03-1125000,"197 STEWART DR NE Fulton County, GA","197%20STEWART%20DR%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/197%20STEWART%20DR%20NE%20Fulton%20County,%20GA",33.9019806,-84.382008
895,8903 ROBERTS DR,5/3/23,"$320,900.00 ",320900,267.4166667,1200,1984,8903ROBERTSDR-2023-05-03-320900,"8903 ROBERTS DR Fulton County, GA","8903%20ROBERTS%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/8903%20ROBERTS%20DR%20Fulton%20County,%20GA",33.9991665,-84.3352466
896,90 ELAINE DR,5/3/23,"$798,000.00 ",798000,245.1612903,3255,2006,90ELAINEDR-2023-05-03-798000,"90 ELAINE DR Fulton County, GA","90%20ELAINE%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/90%20ELAINE%20DR%20Fulton%20County,%20GA",34.0256597,-84.3430718
897,9875 LA VIEW CIR,5/3/23,"$690,000.00 ",690000,347.6070529,1985,1965,9875LAVIEWCIR-2023-05-03-690000,"9875 LA VIEW CIR Fulton County, GA","9875%20LA%20VIEW%20CIR%20Fulton%20County,%20GA","https://www.google.com/maps/search/9875%20LA%20VIEW%20CIR%20Fulton%20County,%20GA",34.0212025,-84.3400109
898,1732 BARFIELD RUN,5/3/23,"$725,000.00 ",725000,257.6403696,2814,2005,1732BARFIELDRUN-2023-05-03-725000,"1732 BARFIELD RUN Fulton County, GA","1732%20BARFIELD%20RUN%20Fulton%20County,%20GA","https://www.google.com/maps/search/1732%20BARFIELD%20RUN%20Fulton%20County,%20GA",33.8111975,-84.4491206
